Civico,count
2,249
1,246
4,164
3,158
5,145
8,122
10,121
6,111
7,110
9,106
12,97
15,94
14,87
11,82
0,77
13,65
22,65
20,60
16,58
23,57
19,56
25,56
18,53
17,45
26,43
24,42
21,42
27,39
35,38
40,37
30,35
39,33
41,31
38,31
29,30
33,29
31,29
34,29
36,26
28,26
32,25
45,25
42,25
61,24
37,21
43,21
48,20
44,19
49,19
56,18
50,17
52,16
58,16
63,16
54,16
53,15
65,14
70,14
59,14
55,14
66,13
46,13
60,12
57,11
72,10
83,9
64,9
71,9
91,9
77,9
80,8
62,8
81,8
87,8
67,8
51,8
92,8
68,7
74,7
69,7
73,7
75,7
89,7
76,6
107,6
102,6
90,6
123,6
113,6
47,5
79,5
82,5
105,5
116,5
234,4
157,4
117,4
139,4
246,4
112,4
110,4
94,4
101,4
99,4
78,4
131,3
100,3
6A,3
154,3
128,3
143,3
104,3
236,3
85,3
93,3
103,3
141,2
270,2
333,2
124,2
3B,2
129,2
185,2
97,2
130,2
187,2
232,2
147,2
213,2
96,2
120,2
150,2
163,2
235,2
118,2
146,2
2A,2
1A,2
12A,2
121,2
191,2
177,2
140,2
111,2
95,2
109,2
175,2
196,2
167,2
325,2
219,2
218,2
217,2
86,2
182,2
178,2
244,1
227,1
207,1
4A,1
279,1
168,1
255,1
174,1
98,1
326,1
242,1
46D,1
407,1
410,1
1111,1
93/1,1
181,1
169,1
220,1
149,1
376,1
84,1
172,1
158,1
8A,1
5A,1
3A,1
195,1
243,1
22A,1
127,1
6/2,1
108,1
267,1
249,1
233,1
119F,1
256,1
310,1
126,1
115,1
184,1
190,1
193,1
186,1
288,1
142,1
201,1
165,1
328,1
106,1
273,1
309,1
277,1
155,1
283,1
145,1
173,1
212,1
290,1
197,1
395,1
114,1
151,1
55B,1
135,1
40A,1
133,1
180,1
276,1
261,1
11A,1
260,1
214,1
198,1
324,1
208,1
265,1
336,1
179,1
