,Tipo via,Via,Civico,Codice via,Municipio,Attivita Primaria,Superficie altri usi,Superficie lavorativa,ACCONCIATORE,ESTETISTA,CENTRO ABBRONZATURA,TRATTAMENTO,TATUAGGI E PIERCING
208,ALZ,NAVIGLIO PAVESE,52,5161.0,6,ACCONCIATORE,2.0,12.0,True,False,False,False,False
209,BST,DI PORTA VOLTA,13,1066.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
211,CSO,BUENOS AIRES,64,2129.0,3,ACCONCIATORE,0.0,57.0,True,False,False,False,False
212,CSO,COLOMBO CRISTOFORO,8,5114.0,6,ACCONCIATORE,0.0,41.0,True,False,False,False,False
213,CSO,COLOMBO CRISTOFORO,9,5114.0,6,ACCONCIATORE,0.0,25.0,True,False,False,False,False
214,CSO,DI PORTA NUOVA,34,1044.0,1,ACCONCIATORE,16.0,38.0,True,False,False,False,False
215,CSO,DI PORTA ROMANA,117,402.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
216,CSO,DI PORTA ROMANA,40,402.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
217,CSO,DI PORTA ROMANA,79,402.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
218,CSO,DI PORTA ROMANA,96,402.0,1,ACCONCIATORE,0.0,68.0,True,False,False,False,False
219,CSO,DI PORTA VIGENTINA,40,4026.0,1,ACCONCIATORE,0.0,50.0,True,False,False,False,False
220,CSO,DI PORTA VITTORIA,32,3016.0,1,ACCONCIATORE,0.0,49.0,True,False,False,False,False
222,CSO,GARIBALDI GIUSEPPE,79,1010.0,1,ACCONCIATORE,46.0,78.0,True,False,False,False,False
223,CSO,GARIBALDI GIUSEPPE,81,1010.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
226,CSO,LODI,93/1,4068.0,4,ACCONCIATORE,0.0,30.0,True,False,False,False,False
227,CSO,MAGENTA,87,604.0,1,ACCONCIATORE,8.0,26.0,True,False,False,False,False
228,CSO,MONFORTE,16,348.0,1,ACCONCIATORE,0.0,25.0,True,False,False,False,False
229,CSO,VENEZIA,8,238.0,1,ACCONCIATORE,14.0,81.0,True,False,False,False,False
230,CSO,VENTIDUE MARZO,25,3074.0,4,ACCONCIATORE,0.0,30.0,True,False,False,False,False
231,CSO,VENTIDUE MARZO,5,3074.0,4,ACCONCIATORE,0.0,30.0,True,False,False,False,False
233,CSO,VITTORIO EMANUELE II,24,214.0,1,ACCONCIATORE,0.0,42.0,True,False,False,False,False
234,CSO,VITTORIO EMANUELE II,30,214.0,1,ACCONCIATORE,0.0,40.0,True,False,False,False,False
235,FOR,BUONAPARTE,55,711.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
236,FOR,BUONAPARTE,63,711.0,1,ACCONCIATORE,0.0,45.0,True,False,False,False,False
237,LGO,DEI GELSOMINI,6,5394.0,6,ACCONCIATORE,5.0,15.0,True,False,False,False,False
238,LGO,DELLA CROCETTA,2,654.0,1,ACCONCIATORE,0.0,30.0,True,False,False,False,False
239,LGO,MURANI ORESTE,2,3234.0,3,ACCONCIATORE,0.0,30.0,True,False,False,False,False
241,LGO,TOSCANINI ARTURO,1,97.0,1,ACCONCIATORE,0.0,55.0,True,False,False,False,False
242,LGO,VULCI,5,1339.0,9,ACCONCIATORE,0.0,28.0,True,False,False,False,False
244,PLE,BAIAMONTI ANTONIO,1,7235.0,8,ACCONCIATORE,0.0,30.0,True,False,False,False,False
245,PLE,CUOCO VINCENZO,5,3163.0,4,ACCONCIATORE,0.0,70.0,True,False,False,False,False
247,PLE,GAMBARA VERONICA,5,6593.0,7,ACCONCIATORE,0.0,30.0,True,False,False,False,False
250,PLE,MARTESANA,4,2707.0,2,ACCONCIATORE,0.0,30.0,True,False,False,False,False
251,PLE,NIGRA COSTANTINO,6,1236.0,9,ACCONCIATORE,0.0,45.0,True,False,False,False,False
252,PLE,SIENA,8,6616.0,7,ACCONCIATORE,10.0,24.0,True,False,False,False,False
253,PZA,ARGENTINA,4,2233.0,3,ACCONCIATORE,0.0,33.0,True,False,False,False,False
254,PZA,ASPROMONTE,35,2246.0,3,ACCONCIATORE,0.0,49.0,True,False,False,False,False
255,PZA,CAIAZZO,2,2259.0,3,ACCONCIATORE,0.0,32.0,True,False,False,False,False
257,PZA,DEI VOLONTARI,3,7143.0,1,ACCONCIATORE,0.0,53.0,True,False,False,False,False
258,PZA,DELLA TRIVULZIANA,1,1765.0,9,ACCONCIATORE,0.0,30.0,True,False,False,False,False
259,PZA,DERGANO,2,1500.0,9,ACCONCIATORE,0.0,30.0,True,False,False,False,False
260,PZA,DERGANO,9,1500.0,9,ACCONCIATORE,0.0,63.0,True,False,False,False,False
261,PZA,GUARDI FRANCESCO,4,3312.0,3,ACCONCIATORE,0.0,30.0,True,False,False,False,False
262,PZA,IMPERATORE TITO,8,3216.0,4,ACCONCIATORE,0.0,25.0,True,False,False,False,False
263,PZA,INSUBRIA,10,3221.0,4,ACCONCIATORE,0.0,42.0,True,False,False,False,False
264,PZA,MIANI GUGLIELMO,5,5308.0,6,ACCONCIATORE,0.0,30.0,True,False,False,False,False
265,PZA,MONTE FALTERONA,3,6558.0,7,ACCONCIATORE,0.0,52.0,True,False,False,False,False
266,PZA,NAPOLI,19,5131.0,6,ACCONCIATORE,0.0,25.0,True,False,False,False,False
269,PZA,SAN GIUSEPPE,9,1442.0,9,ACCONCIATORE,0.0,40.0,True,False,False,False,False
270,PZA,SAN LUIGI,5,4145.0,4,ACCONCIATORE,0.0,70.0,True,False,False,False,False
271,PZA,SCOLARI ROSA,1,6579.0,8,ACCONCIATORE,0.0,20.0,True,False,False,False,False
272,PZA,SIGMUND FREUD,1,1705.0,9,ACCONCIATORE,0.0,30.0,True,False,False,False,False
273,PZA,VIGILI DEL FUOCO,8,2710.0,3,ACCONCIATORE,0.0,30.0,True,False,False,False,False
274,VIA,AGNELLO,18,209.0,1,ACCONCIATORE,0.0,100.0,True,False,False,False,False
275,VIA,ALBANI FRANCESCO,63,6399.0,8,ACCONCIATORE,3.0,33.0,True,False,False,False,False
276,VIA,ALBERTO DA GIUSSANO,1,6188.0,7,ACCONCIATORE,5.0,26.0,True,False,False,False,False
278,VIA,ALDINI ANTONIO,47,7461.0,8,ACCONCIATORE,0.0,26.0,True,False,False,False,False
280,VIA,ALTAMURA SAVERIO,7,6576.0,5,ACCONCIATORE,0.0,30.0,True,False,False,False,False
281,VIA,AMADEO GIAN ANTONIO,24,3228.0,3,ACCONCIATORE,0.0,30.0,True,False,False,False,False
282,VIA,AMEDEI,3,529.0,1,ACCONCIATORE,0.0,53.0,True,False,False,False,False
284,VIA,ANGUISSOLA SOFONISBA,31,6609.0,7,ACCONCIATORE,0.0,31.0,True,False,False,False,False
285,VIA,ANTONELLO DA MESSINA,22,6594.0,7,ACCONCIATORE,7.0,25.0,True,False,False,False,False
287,VIA,ARBE,33,1352.0,2,ACCONCIATORE,0.0,30.0,True,False,False,False,False
288,VIA,ARESE FRANCESCO,20,1186.0,9,ACCONCIATORE,0.0,30.0,True,False,False,False,False
