Ubicazione
ALZ NAVIGLIO GRANDE N. 146 ; (Z.D. 6)
ALZ NAVIGLIO GRANDE N. 34 ; (Z.D. 6)
ALZ NAVIGLIO PAVESE N. 106 ; (Z.D. 5)
ALZ NAVIGLIO PAVESE N. 52 ; (Z.D. 6)
ALZ NAVIGLIO PAVESE N. 8 ; (Z.D. 6)
ALZ NAVIGLIO PAVESE N. 8 INT.ATTIVITA' DI PARRUCCHIERE; (Z.D. 6)
BST DI PORTA NUOVA N. 15 BASTIONI DI PORTA NUOVA; (Z.D. 1)
BST DI PORTA VOLTA N. 13 ; (Z.D. 1)
BST DI PORTA VOLTA N. 5 ; (Z.D. 1)
BST DI PORTA VOLTA N. 9 ; (Z.D. 1)
CODVIA 4386 NUM.008; (Z.D. 4)
CSO
CSO BUENOS AIRES N. 10 ; (Z.D. 3)
CSO BUENOS AIRES N. 18 1 LOCALE AL PRIMO PIANO; (Z.D. 3)
CSO BUENOS AIRES N. 21 (Z.D. 3)
CSO BUENOS AIRES N. 22 INGRESSO DA VIA SPALLANZANI 21; (Z.D. 3)
CSO BUENOS AIRES N. 23 (Z.D. 3)
CSO BUENOS AIRES N. 3 (Z.D. 3)
CSO BUENOS AIRES N. 36 SEMINTERRATO O SOTTERR. PRIMO; (Z.D. 3)
CSO BUENOS AIRES N. 5 ; (Z.D. 3)
CSO BUENOS AIRES N. 51 ; (Z.D. 3)
CSO BUENOS AIRES N. 61 ; (Z.D. 3)
CSO BUENOS AIRES N. 61 P.T.; (Z.D. 3)
CSO BUENOS AIRES N. 64 ; (Z.D. 3)
CSO BUENOS AIRES N. 75 3Ø PIANO; (Z.D. 3)
CSO BUENOS AIRES N. 75 5Ø PIANO; (Z.D. 3)
CSO BUENOS AIRES N. 92 4 LOCALI AL PRIMO PIANO; (Z.D. 3)
CSO COLOMBO CRISTOFORO N. 1 ; (Z.D. 6)
CSO COLOMBO CRISTOFORO N. 8 ; (Z.D. 6)
CSO COLOMBO CRISTOFORO N. 9 ; (Z.D. 6)
CSO COMO N. 11 ; (Z.D. 9)
CSO COMO N. 15 2Ø PIANO; (Z.D. 9)
CSO COMO N. 15 INT.CLUB F.CONTI; (Z.D. 9)
CSO COMO N. 15 INTERNO CLUB F. CONTI
CSO COMO N. 2 ; (Z.D. 9)
CSO COMO N. 9 ; (Z.D. 9)
CSO CONCORDIA N. 10 ; (Z.D. 4)
CSO CONCORDIA N. 12 ; (Z.D. 4)
CSO CONCORDIA N. 14 ; (Z.D. 4)
"CSO CONCORDIA N. 14 MQ,61 AL P.T. + MQ.37 PRIMO PR; (Z.D. 4)"
CSO CONCORDIA N. 6 ; (Z.D. 4)
CSO DI PORTA NUOVA N. 34 ; (Z.D. 1)
CSO DI PORTA NUOVA N. 46 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 109 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 117 PIANO T. E INTERRATO; (Z.D. 1)
CSO DI PORTA ROMANA N. 123 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 128 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 129 (Z.D. 1)
CSO DI PORTA ROMANA N. 131 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 20 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 40 1Ø PIANO; (Z.D. 1)
CSO DI PORTA ROMANA N. 40 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 46 (Z.D. 1)
CSO DI PORTA ROMANA N. 51 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 54 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 79 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 85 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 96 ; (Z.D. 1)
CSO DI PORTA ROMANA N. 97 ; (Z.D. 1)
CSO DI PORTA TICINESE N. 26 ; (Z.D. 1)
CSO DI PORTA TICINESE N. 4 ; (Z.D. 1)
CSO DI PORTA TICINESE N. 50 ; (Z.D. 1)
CSO DI PORTA VIGENTINA N. 18 ; (Z.D. 1)
CSO DI PORTA VIGENTINA N. 26 ; (Z.D. 1)
CSO DI PORTA VIGENTINA N. 31 INT.PROFUMERIA; (Z.D. 1)
CSO DI PORTA VIGENTINA N. 40 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 12 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 13 PIANO PRIMO; (Z.D. 1)
CSO DI PORTA VITTORIA N. 32 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 42 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 5 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 54 (Z.D. 1)
CSO DI PORTA VITTORIA N. 54 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 58 ; (Z.D. 1)
CSO DI PORTA VITTORIA N. 8 (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 104 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 110 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 39 (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 46 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 65 (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 73 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 79 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE N. 81 ; (Z.D. 1)
CSO GARIBALDI GIUSEPPE NUM.051A; (Z.D. 1)
CSO GARIBALDI GIUSEPPE P.T. + SEMINTERRATO NUM.03032; (Z.D. 1)
CSO GENOVA N. 11 ; (Z.D. 1)
CSO GENOVA N. 25 ; (Z.D. 1)
CSO GENOVA N. 4 ; (Z.D. 1)
CSO INDIPENDENZA N. 12 ; (Z.D. 4)
CSO INDIPENDENZA N. 6 (Z.D. 4)
CSO INDIPENDENZA N. 6 ; (Z.D. 4)
CSO ITALIA N. 11 ; (Z.D. 1)
CSO ITALIA N. 35 ; (Z.D. 1)
CSO ITALIA N. 36 (Z.D. 1)
CSO ITALIA N. 43 CON INGRESSO VIA LUSARDI; (Z.D. 1)
CSO ITALIA N. 46 (Z.D. 1)
CSO ITALIA N. 6 ; (Z.D. 1)
CSO LODI N. 1 ; (Z.D. 4)
CSO LODI N. 101 ; (Z.D. 4)
CSO LODI N. 103 (Z.D. 4)
CSO LODI N. 112 1Ø PIANO; (Z.D. 4)
CSO LODI N. 113 (Z.D. 4)
CSO LODI N. 113 ; (Z.D. 4)
CSO LODI N. 113 CON INGRESSO IN VIA SACCONI; (Z.D. 4)
CSO LODI N. 116 ; (Z.D. 4)
CSO LODI N. 15 ; (Z.D. 4)
CSO LODI N. 2 ; (Z.D. 5)
CSO LODI N. 22 ; (Z.D. 5)
CSO LODI N. 24 ; (Z.D. 5)
CSO LODI N. 36 ; (Z.D. 5)
CSO LODI N. 56 ; (Z.D. 4)
CSO LODI N. 59 1LOC. AL P.T. E 1 LOC. SEMINT.; (Z.D. 4)
CSO LODI N. 59 ; (Z.D. 4)
CSO LODI N. 62 ; (Z.D. 4)
CSO LODI N. 72 ; (Z.D. 4)
CSO LODI N. 74 ; (Z.D. 4)
CSO LODI N. 90 ; (Z.D. 4)
CSO LODI N. 93/1 (Z.D. 4)
CSO MAGENTA INTERNO PIANO RIALZATO NUM.083; (Z.D. 1)
CSO MAGENTA N. 11 ; (Z.D. 1)
CSO MAGENTA N. 25 ; (Z.D. 1)
CSO MAGENTA N. 25 PRIMO PIANO; (Z.D. 1)
CSO MAGENTA N. 52 INTERNO CORTILE; (Z.D. 1)
CSO MAGENTA N. 56 (Z.D. 1)
CSO MAGENTA N. 66 ; (Z.D. 1)
CSO MAGENTA N. 76 ; (Z.D. 1)
CSO MAGENTA N. 79 ; (Z.D. 1)
CSO MAGENTA N. 87 ; (Z.D. 1)
CSO MATTEOTTI GIACOMO N. 1 ; (Z.D. 1)
CSO MATTEOTTI GIACOMO N. 4 ; (Z.D. 1)
CSO MATTEOTTI GIACOMO PIANO AMMEZZATO NUM.001A; (Z.D. 1)
CSO MONFORTE N. 16 ; (Z.D. 1)
CSO MONFORTE N. 21 INGRESSO V.S.DAMIANO 2; (Z.D. 1)
CSO MONFORTE N. 30 ; (Z.D. 1)
CSO MONFORTE N. 9 ; (Z.D. 1)
CSO PLEBISCITI N. 1 CON INGRESSO VIA DEI MILLE; (Z.D. 3)
CSO PLEBISCITI N. 12 (Z.D. 4)
CSO SAN GOTTARDO N. 11 ; (Z.D. 5)
CSO SAN GOTTARDO N. 14 ; (Z.D. 5)
CSO SAN GOTTARDO N. 20 ; (Z.D. 5)
CSO SAN GOTTARDO N. 26 ; (Z.D. 5)
CSO SAN GOTTARDO N. 28 I PIANO; (Z.D. 5)
CSO SAN GOTTARDO N. 34 ; (Z.D. 5)
CSO SAN GOTTARDO N. 5 ; (Z.D. 5)
CSO SEMPIONE N. 10 INTERNO PALESTRA; (Z.D. 1)
CSO SEMPIONE N. 102 ; (Z.D. 8)
CSO SEMPIONE N. 11 SEMINTERRATO; (Z.D. 1)
CSO SEMPIONE N. 65 ; (Z.D. 8)
CSO SEMPIONE N. 71 ; (Z.D. 8)
CSO SEMPIONE N. 75 ; (Z.D. 8)
CSO VENEZIA N. 13 ; (Z.D. 1)
CSO VENEZIA N. 14 ; (Z.D. 1)
CSO VENEZIA N. 15 ; (Z.D. 1)
CSO VENEZIA N. 3 ; (Z.D. 1)
CSO VENEZIA N. 33 ; (Z.D. 1)
CSO VENEZIA N. 35 ; (Z.D. 1)
CSO VENEZIA N. 8 ; (Z.D. 1)
CSO VENTIDUE MARZO N. 12 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 22 (Z.D. 4)
CSO VENTIDUE MARZO N. 25 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 30 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 40 (Z.D. 4)
CSO VENTIDUE MARZO N. 41 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 49 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 49 ANGOLO P.ZA GRANDI; (Z.D. 4)
CSO VENTIDUE MARZO N. 5 ; (Z.D. 4)
CSO VENTIDUE MARZO N. 8 1 PIANO; (Z.D. 4)
