Tipo via,Via,Codice via,count
CSO,COMO,,
CSO,COMO,1111.0,5.0
CSO,GARIBALDI GIUSEPPE,1010.0,10.0
CSO,GARIBALDI GIUSEPPE,1063.0,1.0
CSO,GARIBALDI GIUSEPPE,7121.0,1.0
CSO,MAGENTA,604.0,10.0
CSO,MAGENTA,609.0,1.0
PZA,OBERDAN GUGLIELMO,2108.0,3.0
PZA,OBERDAN GUGLIELMO,2182.0,1.0
VIA,AGNELLO,209.0,1.0
VIA,AGNELLO,1018.0,1.0
VIA,BINDA AMBROGIO,5298.0,3.0
VIA,BINDA AMBROGIO,5236.0,1.0
VIA,BOVISASCA,1607.0,1.0
VIA,BOVISASCA,1109.0,1.0
VIA,CABELLA BARTOLOMEO,6778.0,3.0
VIA,CABELLA BARTOLOMEO,6828.0,2.0
VIA,CHIANCIANO,1488.0,1.0
VIA,CHIANCIANO,1315.0,1.0
VIA,CHIANCIANO,1446.0,1.0
VIA,CIMAROSA DOMENICO,5107.0,1.0
VIA,CIMAROSA DOMENICO,6291.0,1.0
VIA,CONSOLE MARCELLO,7278.0,3.0
VIA,CONSOLE MARCELLO,6400.0,1.0
VIA,DELLA MOSCOVA,1016.0,7.0
VIA,DELLA MOSCOVA,1018.0,1.0
VIA,DELLE FORZE ARMATE,6643.0,25.0
VIA,DELLE FORZE ARMATE,6620.0,1.0
VIA,DONIZETTI GAETANO,568.0,1.0
VIA,DONIZETTI GAETANO,3030.0,1.0
VIA,FIAMMA GALVANO,3079.0,2.0
VIA,FIAMMA GALVANO,3279.0,1.0
VIA,FIUGGI,1693.0,1.0
VIA,FIUGGI,1328.0,2.0
VIA,FIUGGI,1318.0,1.0
VIA,GIAMBELLINO,5136.0,14.0
VIA,GIAMBELLINO,6117.0,1.0
VIA,GIAMBELLINO,6646.0,1.0
VIA,GIOIA MELCHIORRE,1108.0,15.0
VIA,GIOIA MELCHIORRE,1199.0,1.0
VIA,GNOCCHI DON CARLO,6100.0,1.0
VIA,GNOCCHI DON CARLO,6212.0,1.0
VIA,GOLA EMILIO,6122.0,1.0
VIA,GOLA EMILIO,5154.0,1.0
VIA,LITTA MODIGNANI ALESSANDRO,1539.0,2.0
VIA,LITTA MODIGNANI ALESSANDRO,1442.0,1.0
VIA,LODOVICO IL MORO,5290.0,10.0
VIA,LODOVICO IL MORO,5132.0,1.0
VIA,LONGARONE,7241.0,1.0
VIA,LONGARONE,7292.0,1.0
VIA,MECENATE,3323.0,8.0
VIA,MECENATE,3189.0,1.0
VIA,MENOTTI CIRO,3184.0,4.0
VIA,MENOTTI CIRO,2658.0,1.0
VIA,MENOTTI CIRO,2123.0,1.0
VIA,MONTE ROSA,6388.0,3.0
VIA,MONTE ROSA,6102.0,1.0
VIA,MONTI VINCENZO,6155.0,10.0
VIA,MONTI VINCENZO,609.0,1.0
VIA,MONTI VINCENZO,361.0,1.0
VIA,MOROSINI EMILIO,3073.0,3.0
VIA,MOROSINI EMILIO,3086.0,1.0
VIA,MOSCA ANTONIO,6788.0,2.0
VIA,MOSCA ANTONIO,6643.0,1.0
VIA,NEERA ANNA,4355.0,1.0
VIA,NEERA ANNA,5326.0,2.0
VIA,PAGANO MARIO,6186.0,1.0
VIA,PAGANO MARIO,238.0,1.0
VIA,PALMANOVA,2390.0,11.0
VIA,PALMANOVA,1309.0,1.0
VIA,PIERO DELLA FRANCESCA,7188.0,5.0
VIA,PIERO DELLA FRANCESCA,7328.0,1.0
VIA,PILO ROSOLINO,2189.0,3.0
VIA,PILO ROSOLINO,2576.0,1.0
VIA,RIPAMONTI GIUSEPPE,4066.0,25.0
VIA,RIPAMONTI GIUSEPPE,4295.0,1.0
VIA,RONCHI,2655.0,6.0
VIA,RONCHI,2395.0,1.0
VIA,SAMBUCO,321.0,1.0
VIA,SAMBUCO,5189.0,1.0
VIA,SERLIO SEBASTIANO,4176.0,1.0
VIA,SERLIO SEBASTIANO,4157.0,1.0
VIA,SOLARI ANDREA,5111.0,12.0
VIA,SOLARI ANDREA,5389.0,1.0
VIA,SOLARI ANDREA,5132.0,1.0
VIA,TARTINI GIUSEPPE,1501.0,5.0
VIA,TARTINI GIUSEPPE,6733.0,1.0
VIA,TARTINI GIUSEPPE,1328.0,1.0
VIA,TOLMEZZO,2650.0,1.0
VIA,TOLMEZZO,2659.0,1.0
VIA,TOLSTOI LEONE,5133.0,6.0
VIA,TOLSTOI LEONE,6675.0,1.0
VIA,VENINI GIULIO E CORRADO,2258.0,10.0
VIA,VENINI GIULIO E CORRADO,2153.0,1.0
VIA,VESPRI SICILIANI,5137.0,3.0
VIA,VESPRI SICILIANI,5133.0,1.0
VIA,WASHINGTON GIORGIO,6111.0,19.0
VIA,WASHINGTON GIORGIO,6555.0,1.0
VIA,ZANELLA GIACOMO,3257.0,5.0
VIA,ZANELLA GIACOMO,4086.0,1.0
VLE,FORLANINI ENRICO,4157.0,1.0
VLE,FORLANINI ENRICO,4147.0,1.0
VLE,MONZA,2274.0,40.0
VLE,MONZA,2287.0,1.0
VLE,MONZA,2275.0,1.0
VLE,MONZA,1170.0,1.0
VLE,ROMAGNA,3102.0,7.0
VLE,ROMAGNA,2571.0,1.0
VLE,SABOTINO,4046.0,10.0
VLE,SABOTINO,5205.0,1.0
VLE,TEODORICO,7163.0,1.0
VLE,TEODORICO,7160.0,1.0
