,Tipo esercizio,Ubicazione,Tipo via,Via,Civico,Codice via,Municipio,Attivita Primaria,Superficie altri usi,Superficie lavorativa,ACCONCIATORE,ESTETISTA,CENTRO ABBRONZATURA,TRATTAMENTO,TATUAGGI E PIERCING
33, (Z.D. 9),CSO,COMO,15,1111,9.0,ACCONCIATORE,,195.0,,False,False,False,False,False
208,ACCONCIATORE,ALZ NAVIGLIO PAVESE N. 52 ; (z.d. 6),ALZ,NAVIGLIO PAVESE,52,5161.0,6,,2.0,12.0,True,False,False,False,False
209,ACCONCIATORE,BST DI PORTA VOLTA N. 13 ; (z.d. 1),BST,DI PORTA VOLTA,13,1066.0,1,,,,True,False,False,False,False
211,ACCONCIATORE,CSO BUENOS AIRES N. 64 ; (z.d. 3),CSO,BUENOS AIRES,64,2129.0,3,,,57.0,True,False,False,False,False
212,ACCONCIATORE,CSO COLOMBO CRISTOFORO N. 8 ; (z.d. 6),CSO,COLOMBO CRISTOFORO,8,5114.0,6,,,41.0,True,False,False,False,False
213,ACCONCIATORE,CSO COLOMBO CRISTOFORO N. 9 ; (z.d. 6),CSO,COLOMBO CRISTOFORO,9,5114.0,6,,,25.0,True,False,False,False,False
214,ACCONCIATORE,CSO DI PORTA NUOVA N. 34 ; (z.d. 1),CSO,DI PORTA NUOVA,34,1044.0,1,,16.0,38.0,True,False,False,False,False
215,ACCONCIATORE,CSO DI PORTA ROMANA N. 117 piano t. e interrato; (z.d. 1),CSO,DI PORTA ROMANA,117,402.0,1,,,,True,False,False,False,False
216,ACCONCIATORE,CSO DI PORTA ROMANA N. 40 ; (z.d. 1),CSO,DI PORTA ROMANA,40,402.0,1,,,,True,False,False,False,False
217,ACCONCIATORE,CSO DI PORTA ROMANA N. 79 ; (z.d. 1),CSO,DI PORTA ROMANA,79,402.0,1,,,,True,False,False,False,False
218,ACCONCIATORE,CSO DI PORTA ROMANA N. 96 ; (z.d. 1),CSO,DI PORTA ROMANA,96,402.0,1,acconciatore.,,68.0,True,False,False,False,False
219,ACCONCIATORE,CSO DI PORTA VIGENTINA N. 40 ; (z.d. 1),CSO,DI PORTA VIGENTINA,40,4026.0,1,,,50.0,True,False,False,False,False
220,ACCONCIATORE,CSO DI PORTA VITTORIA N. 32 ; (z.d. 1),CSO,DI PORTA VITTORIA,32,3016.0,1,ACCONCIATORE,,49.0,True,False,False,False,False
221,ACCONCIATORE,CSO DI PORTA VITTORIA N. 58 ; (z.d. 1),CSO,DI PORTA VITTORIA,58,3016.0,1,,,53.0,True,False,False,False,False
222,ACCONCIATORE,CSO GARIBALDI GIUSEPPE N. 79 ; (z.d. 1),CSO,GARIBALDI GIUSEPPE,79,1010.0,1,,46.0,78.0,True,False,False,False,False
223,ACCONCIATORE,CSO GARIBALDI GIUSEPPE N. 81 ; (z.d. 1),CSO,GARIBALDI GIUSEPPE,81,1010.0,1,,,,True,False,False,False,False
224,ACCONCIATORE,CSO LODI N. 112 1ø piano; (z.d. 4),CSO,LODI,112,4068.0,4,,,,True,False,False,False,False
225,ACCONCIATORE,CSO LODI N. 24 ; (z.d. 5),CSO,LODI,24,4068.0,5,,,64.0,True,False,False,False,False
226,ACCONCIATORE,CSO LODI N. 93/1 (z.d. 4),CSO,LODI,93/1,4068.0,4,,,,True,False,False,False,False
227,ACCONCIATORE,CSO MAGENTA N. 87 ; (z.d. 1),CSO,MAGENTA,87,604.0,1,,8.0,26.0,True,False,False,False,False
228,ACCONCIATORE,CSO MONFORTE N. 16 ; (z.d. 1),CSO,MONFORTE,16,348.0,1,,,25.0,True,False,False,False,False
229,ACCONCIATORE,CSO VENEZIA N. 8 ; (z.d. 1),CSO,VENEZIA,8,238.0,1,ACCONCIATORE,14.0,81.0,True,False,False,False,False
230,ACCONCIATORE,CSO VENTIDUE MARZO N. 25 ; (z.d. 4),CSO,VENTIDUE MARZO,25,3074.0,4,,,,True,False,False,False,False
231,ACCONCIATORE,CSO VENTIDUE MARZO N. 5 ; (z.d. 4),CSO,VENTIDUE MARZO,5,3074.0,4,,,,True,False,False,False,False
232,ACCONCIATORE,CSO VITTORIO EMANUELE II N. 15 1ø piano; (z.d. 1),CSO,VITTORIO EMANUELE II,15,214.0,1,,,,True,False,False,False,False
233,ACCONCIATORE,CSO VITTORIO EMANUELE II N. 24 2øinterrato; (z.d. 1),CSO,VITTORIO EMANUELE II,24,214.0,1,,,42.0,True,False,False,False,False
234,ACCONCIATORE,CSO VITTORIO EMANUELE II N. 30 primo piano; (z.d. 1),CSO,VITTORIO EMANUELE II,30,214.0,1,,,40.0,True,False,False,False,False
