Ubicazione
ALZ NAVIGLIO GRANDE N. 146 ; (z.d. 6)
ALZ NAVIGLIO GRANDE N. 34 ; (z.d. 6)
ALZ NAVIGLIO PAVESE N. 106 ; (z.d. 5)
ALZ NAVIGLIO PAVESE N. 52 ; (z.d. 6)
ALZ NAVIGLIO PAVESE N. 8 ; (z.d. 6)
ALZ NAVIGLIO PAVESE N. 8 int.attivita' di parrucchiere; (z.d. 6)
BST DI PORTA NUOVA N. 15 bastioni di porta nuova; (z.d. 1)
BST DI PORTA VOLTA N. 13 ; (z.d. 1)
BST DI PORTA VOLTA N. 5 ; (z.d. 1)
BST DI PORTA VOLTA N. 9 ; (z.d. 1)
CSO
CSO BUENOS AIRES N. 10 ; (z.d. 3)
CSO BUENOS AIRES N. 18 1 locale al primo piano; (z.d. 3)
CSO BUENOS AIRES N. 21 (z.d. 3)
CSO BUENOS AIRES N. 22 ingresso da via spallanzani 21; (z.d. 3)
CSO BUENOS AIRES N. 23 (z.d. 3)
CSO BUENOS AIRES N. 3 (z.d. 3)
CSO BUENOS AIRES N. 36 seminterrato o sotterr. primo; (z.d. 3)
CSO BUENOS AIRES N. 5 ; (z.d. 3)
CSO BUENOS AIRES N. 51 ; (z.d. 3)
CSO BUENOS AIRES N. 61 ; (z.d. 3)
CSO BUENOS AIRES N. 61 p.t.; (z.d. 3)
CSO BUENOS AIRES N. 64 ; (z.d. 3)
CSO BUENOS AIRES N. 75 3ø piano; (z.d. 3)
CSO BUENOS AIRES N. 75 5ø piano; (z.d. 3)
CSO BUENOS AIRES N. 92 4 locali al primo piano; (z.d. 3)
CSO COLOMBO CRISTOFORO N. 1 ; (z.d. 6)
CSO COLOMBO CRISTOFORO N. 8 ; (z.d. 6)
CSO COLOMBO CRISTOFORO N. 9 ; (z.d. 6)
CSO COMO N. 11 ; (z.d. 9)
CSO COMO N. 15 2ø piano; (z.d. 9)
CSO COMO N. 15 int.club f.conti; (z.d. 9)
CSO COMO N. 15 interno club f. conti
CSO COMO N. 2 ; (z.d. 9)
CSO COMO N. 9 ; (z.d. 9)
CSO CONCORDIA N. 10 ; (z.d. 4)
CSO CONCORDIA N. 12 ; (z.d. 4)
CSO CONCORDIA N. 14 ; (z.d. 4)
"CSO CONCORDIA N. 14 mq,61 al p.t. + mq.37 primo pr; (z.d. 4)"
CSO CONCORDIA N. 6 ; (z.d. 4)
CSO DI PORTA NUOVA N. 34 ; (z.d. 1)
CSO DI PORTA NUOVA N. 46 ; (z.d. 1)
CSO DI PORTA ROMANA N. 109 ; (z.d. 1)
CSO DI PORTA ROMANA N. 117 piano t. e interrato; (z.d. 1)
CSO DI PORTA ROMANA N. 123 ; (z.d. 1)
CSO DI PORTA ROMANA N. 128 ; (z.d. 1)
CSO DI PORTA ROMANA N. 129 (z.d. 1)
CSO DI PORTA ROMANA N. 131 ; (z.d. 1)
CSO DI PORTA ROMANA N. 20 ; (z.d. 1)
CSO DI PORTA ROMANA N. 40 1ø piano; (z.d. 1)
CSO DI PORTA ROMANA N. 40 ; (z.d. 1)
CSO DI PORTA ROMANA N. 46 (z.d. 1)
CSO DI PORTA ROMANA N. 51 ; (z.d. 1)
CSO DI PORTA ROMANA N. 54 ; (z.d. 1)
CSO DI PORTA ROMANA N. 79 ; (z.d. 1)
CSO DI PORTA ROMANA N. 85 ; (z.d. 1)
CSO DI PORTA ROMANA N. 96 ; (z.d. 1)
CSO DI PORTA ROMANA N. 97 ; (z.d. 1)
CSO DI PORTA TICINESE N. 26 ; (z.d. 1)
CSO DI PORTA TICINESE N. 4 ; (z.d. 1)
CSO DI PORTA TICINESE N. 50 ; (z.d. 1)
CSO DI PORTA VIGENTINA N. 18 ; (z.d. 1)
CSO DI PORTA VIGENTINA N. 26 ; (z.d. 1)
CSO DI PORTA VIGENTINA N. 31 int.profumeria; (z.d. 1)
CSO DI PORTA VIGENTINA N. 40 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 12 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 13 piano primo; (z.d. 1)
CSO DI PORTA VITTORIA N. 32 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 42 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 5 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 54 (z.d. 1)
CSO DI PORTA VITTORIA N. 54 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 58 ; (z.d. 1)
CSO DI PORTA VITTORIA N. 8 (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 104 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 110 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 39 (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 46 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 65 (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 73 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 79 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE N. 81 ; (z.d. 1)
CSO GARIBALDI GIUSEPPE num.051a; (z.d. 1)
CSO GARIBALDI GIUSEPPE p.t. + seminterrato num.03032; (z.d. 1)
CSO GENOVA N. 11 ; (z.d. 1)
CSO GENOVA N. 25 ; (z.d. 1)
CSO GENOVA N. 4 ; (z.d. 1)
CSO INDIPENDENZA N. 12 ; (z.d. 4)
CSO INDIPENDENZA N. 6 (z.d. 4)
CSO INDIPENDENZA N. 6 ; (z.d. 4)
CSO ITALIA N. 11 ; (z.d. 1)
CSO ITALIA N. 35 ; (z.d. 1)
CSO ITALIA N. 36 (z.d. 1)
CSO ITALIA N. 43 con ingresso via lusardi; (z.d. 1)
CSO ITALIA N. 46 (z.d. 1)
CSO ITALIA N. 6 ; (z.d. 1)
CSO LODI N. 1 ; (z.d. 4)
CSO LODI N. 101 ; (z.d. 4)
CSO LODI N. 103 (z.d. 4)
CSO LODI N. 112 1ø piano; (z.d. 4)
CSO LODI N. 113 (z.d. 4)
CSO LODI N. 113 ; (z.d. 4)
CSO LODI N. 113 con ingresso in via sacconi; (z.d. 4)
CSO LODI N. 116 ; (z.d. 4)
CSO LODI N. 15 ; (z.d. 4)
CSO LODI N. 2 ; (z.d. 5)
CSO LODI N. 22 ; (z.d. 5)
CSO LODI N. 24 ; (z.d. 5)
CSO LODI N. 36 ; (z.d. 5)
CSO LODI N. 56 ; (z.d. 4)
CSO LODI N. 59 1loc. al p.t. e 1 loc. semint.; (z.d. 4)
CSO LODI N. 59 ; (z.d. 4)
CSO LODI N. 62 ; (z.d. 4)
CSO LODI N. 72 ; (z.d. 4)
CSO LODI N. 74 ; (z.d. 4)
CSO LODI N. 90 ; (z.d. 4)
CSO LODI N. 93/1 (z.d. 4)
CSO MAGENTA N. 11 ; (z.d. 1)
CSO MAGENTA N. 25 ; (z.d. 1)
CSO MAGENTA N. 25 primo piano; (z.d. 1)
CSO MAGENTA N. 52 interno cortile; (z.d. 1)
CSO MAGENTA N. 56 (z.d. 1)
CSO MAGENTA N. 66 ; (z.d. 1)
CSO MAGENTA N. 76 ; (z.d. 1)
CSO MAGENTA N. 79 ; (z.d. 1)
CSO MAGENTA N. 87 ; (z.d. 1)
CSO MAGENTA interno piano rialzato num.083; (z.d. 1)
CSO MATTEOTTI GIACOMO N. 1 ; (z.d. 1)
CSO MATTEOTTI GIACOMO N. 4 ; (z.d. 1)
CSO MATTEOTTI GIACOMO piano ammezzato num.001a; (z.d. 1)
CSO MONFORTE N. 16 ; (z.d. 1)
CSO MONFORTE N. 21 ingresso v.s.damiano 2; (z.d. 1)
CSO MONFORTE N. 30 ; (z.d. 1)
CSO MONFORTE N. 9 ; (z.d. 1)
CSO PLEBISCITI N. 1 con ingresso via dei mille; (z.d. 3)
CSO PLEBISCITI N. 12 (z.d. 4)
CSO SAN GOTTARDO N. 11 ; (z.d. 5)
CSO SAN GOTTARDO N. 14 ; (z.d. 5)
CSO SAN GOTTARDO N. 20 ; (z.d. 5)
CSO SAN GOTTARDO N. 26 ; (z.d. 5)
CSO SAN GOTTARDO N. 28 i piano; (z.d. 5)
CSO SAN GOTTARDO N. 34 ; (z.d. 5)
CSO SAN GOTTARDO N. 5 ; (z.d. 5)
CSO SEMPIONE N. 10 interno palestra; (z.d. 1)
CSO SEMPIONE N. 102 ; (z.d. 8)
CSO SEMPIONE N. 11 seminterrato; (z.d. 1)
CSO SEMPIONE N. 65 ; (z.d. 8)
CSO SEMPIONE N. 71 ; (z.d. 8)
CSO SEMPIONE N. 75 ; (z.d. 8)
CSO VENEZIA N. 13 ; (z.d. 1)
CSO VENEZIA N. 14 ; (z.d. 1)
CSO VENEZIA N. 15 ; (z.d. 1)
CSO VENEZIA N. 3 ; (z.d. 1)
CSO VENEZIA N. 33 ; (z.d. 1)
CSO VENEZIA N. 35 ; (z.d. 1)
CSO VENEZIA N. 8 ; (z.d. 1)
CSO VENTIDUE MARZO N. 12 ; (z.d. 4)
CSO VENTIDUE MARZO N. 22 (z.d. 4)
CSO VENTIDUE MARZO N. 25 ; (z.d. 4)
CSO VENTIDUE MARZO N. 30 ; (z.d. 4)
CSO VENTIDUE MARZO N. 40 (z.d. 4)
CSO VENTIDUE MARZO N. 41 ; (z.d. 4)
CSO VENTIDUE MARZO N. 49 ; (z.d. 4)
CSO VENTIDUE MARZO N. 49 angolo p.za grandi; (z.d. 4)
CSO VENTIDUE MARZO N. 5 ; (z.d. 4)
CSO VENTIDUE MARZO N. 8 1 piano; (z.d. 4)
CSO VENTIDUE MARZO N. 8 ; (z.d. 4)
CSO VERCELLI N. 20 (z.d. 7)
CSO VERCELLI N. 29 (z.d. 7)
CSO VERCELLI N. 35 ; (z.d. 7)
CSO VERCELLI N. 37 con ingresso via p.giovio; (z.d. 7)
CSO VERCELLI N. 38 1^piano; (z.d. 7)
CSO VERCELLI N. 52 ; (z.d. 7)
CSO VERCELLI N. 7 ; (z.d. 7)
CSO VERCELLI N. 8 int. profumeria 1ø piano; (z.d. 7)
CSO VITTORIO EMANUELE II N. 15 1ø piano; (z.d. 1)
CSO VITTORIO EMANUELE II N. 15 primo piano; (z.d. 1)
CSO VITTORIO EMANUELE II N. 24 2øinterrato; (z.d. 1)
CSO VITTORIO EMANUELE II N. 30 primo piano; (z.d. 1)
